news,time,news_type,news_source
"You can buy Apple iPhone 13 at ₹20,999 on Flipkart ahead of Amazon Prime Day sale","d
.
12:25 PM IST",technology,mint
Tata Group could soon become the first Indian iPhone maker,"d
.
10:41 AM IST",technology,mint
WhatsApp for iPhone gets translucent bar: Check details inside,"d
.
07:26 AM IST",technology,mint
Twitter-killer Threads becomes the fastest app to have 100 million users,"d
.
07:05 AM IST",technology,mint
Threads vs Twitter: CEO Linda Yaccarino sees largest usage day; Elon Musk reacts,"d
.
10:39 AM IST",technology,mint
"Artificial intelligence lashes at the doorstep of films, entertainment","d
.
12:43 AM IST",technology,mint
How GCCs stole the thunder from IT firms,"d
.
10 Jul 2023",technology,mint
The AI Boom Is Here. The Cloud May Not Be Ready.,"d
.
10 Jul 2023",technology,mint
"To Drive AI, Chip Makers Stack ‘Chiplets’ Like Lego Blocks","d
.
10 Jul 2023",technology,mint
Amazon Prime Day sale: Apple iPhone 14 to be available with ‘biggest discount’,"d
.
10 Jul 2023",technology,mint
How to download Threads app on Windows 11 laptop: A step-by-step guide,"d
.
10 Jul 2023",technology,mint
Google's GBoard beta testing 'Undo' button for improved typing: Report,"d
.
10 Jul 2023",technology,mint
Amazon Prime Day: Best deals on smartphones revealed!,"d
.
10 Jul 2023",technology,mint
Uber charged a US couple ₹24 lakh for a single ride. Here’s what happened next…,"d
.
10 Jul 2023",technology,mint
"Oppo Enco Air 3 Pro launched in India! Check price, specs and more","d
.
10 Jul 2023",technology,mint
"Oppo Reno 10, Oppo Reno 10 Pro and Oppo Reno 10 Pro+ debuts, price starts at ₹39,999","d
.
10 Jul 2023",technology,mint
Viral post: Doctor received ₹500 fake note from patient; calls it ‘a fun memory’,"d
.
10 Jul 2023",technology,mint
Elon Musk to take over Meta for a day if he wins a cage fight against Mark Zuckerberg?,"d
.
10 Jul 2023",technology,mint
Zuckerberg's Threads vs Musk's Twitter: 10 major differences,"d
.
10 Jul 2023",technology,mint
Threads vs Twitter: Elon Musk calls Mark Zuckberberg a ‘cuck’ as Threads nears 100mn users,,technology,mint
"Deepak Chahar is like a drug: MS Dhoni opens up on his bond with CSK pacer, takes hilarious dig","July 11, 2023 8:11 IST",sports,indiaTV
"Despite England being 1-2 down, captain Stokes vows no change in approach ahead of Manchester Test","July 10, 2023 17:48 IST",sports,indiaTV
Justin Langer in consideration to replace Andy Flower as LSG head coach for IPL 2024 - Report,"July 10, 2023 17:18 IST",sports,indiaTV
Out of favour senior India cricketer to be part of West Indies tour as a commentator,"July 10, 2023 16:34 IST",sports,indiaTV
'He has been doing dirty work for India': Harbhajan Singh slams exclusion of star player from team,"July 10, 2023 16:34 IST",sports,indiaTV
"'Not scoring runs, putting on weight...' - Harbhajan Singh backs Rohit Sharma amid criticism","July 10, 2023 16:35 IST",sports,indiaTV
No silly pre-game b******t: Ex-England batter lauds different Ben Stokes and Co,"July 10, 2023 15:59 IST",sports,indiaTV
Ashes 2023: England's 131-year-old massive jinx breaks following win in Leeds,"July 10, 2023 14:07 IST",sports,indiaTV
Ashes 2023: David Warner's spot in danger after Mitchell Marsh's exceptional show at Headingley,"July 10, 2023 14:03 IST",sports,indiaTV
Top 5 wicket-takers in IND vs WI Tests,"July 10, 2023 13:34 IST",sports,indiaTV
Biden arrives in UK as part of 3-nation visit ahead of NATO summit on Ukraine's membership,"July 10, 2023 10:43 IST",world,indiaTV
300 migrants bound to Spain's Canary Islands go missing at Atlantic Ocean,"July 10, 2023 9:25 IST",world,indiaTV
"ISIS leader Osama al-Muhajer killed in drone strike in Syria, claims US military","July 10, 2023 9:02 IST",world,indiaTV
France imposes ban on firecrackers sale on Bastille Day weekend over fears of resurgent violence,"July 10, 2023 8:39 IST",world,indiaTV
Nigeria: 24 killed after 'militia gang' gunmen attack village in Benue,"July 10, 2023 7:05 IST",world,indiaTV
"US drone strike kills Islamic State group leader in Syria, says Defence Department","July 09, 2023 19:31 IST",world,indiaTV
Pakistan PM accuses Imran Khan of engaging in 'vile' and 'sinister' campaign against army chief,"July 09, 2023 18:51 IST",world,indiaTV
"Syria cancels BBC's media accreditation, accuses British broadcaster of spreading fake news","July 09, 2023 18:25 IST",world,indiaTV
"Pakistan: 76, including 31 children, killed as incessant rains continue to devastate country","July 09, 2023 14:54 IST",world,indiaTV
China imposes  fine of $1 billion on Jack Ma's Ant group,"July 09, 2023 12:41 IST",world,indiaTV
Canada: Indians wave tricolour outside consulate in Toronto to counter Khalistani supporters,"July 09, 2023 12:37 IST",world,indiaTV
Kenya: 3 killed in anti-government protests over high cost of living; 20 detained,"July 09, 2023 12:05 IST",world,indiaTV
Synergy of AI and Blockchain unleashes revolutionary innovations,"July 10, 2023 17:52 IST",technology,indiaTV
OPPO Reno10 series and latest Enco Air3 Pro launched: Details,"July 10, 2023 17:09 IST",technology,indiaTV
"Evernote implements major workforce reduction, relocates operations to Europe","July 10, 2023 13:40 IST",technology,indiaTV
Rumors suggest Apple's future MacBook to showcase Samsung's foldable display technology,"July 10, 2023 13:13 IST",technology,indiaTV
"Threads launches Auto-Delete feature for posts, attracts 90 million users in record time","July 10, 2023 12:59 IST",technology,indiaTV
Apple's upcoming iPad Pro models featuring OLED displays set for early 2024 mass production,"July 10, 2023 12:39 IST",technology,indiaTV
Thread to reach the benchmark of 100 mn users,"July 10, 2023 12:22 IST",technology,indiaTV
YouTube explores AI-generated quizzes to enhance user learning experience,"July 09, 2023 18:06 IST",technology,indiaTV
Apps with 1.5 million downloads on Google Play found transmitting user data to China,"July 09, 2023 17:57 IST",technology,indiaTV
WhatsApp iOS Beta users get Sticker suggestion feature: Know-more,"July 09, 2023 17:44 IST",technology,indiaTV
Amazon Prime Day 2023 to unveil 10 smartphone lineup: Details here,"July 09, 2023 17:31 IST",technology,indiaTV
Google explores AI-chatbot Med-PaLM 2 for accurate medical information,"July 09, 2023 15:05 IST",technology,indiaTV
"From Oct 1, credit, debit, prepaid card users will be able to port networks","July 10, 2023 22:15 IST",buisness,indiaTV
Foxconn withdraws from Rs 1.5 lakh crore semiconductor joint venture with Vedanta,"July 11, 2023 6:18 IST",buisness,indiaTV
Finance Ministry asks IBA to finalise wage revision of bankers of PSU banks by Dec 1,"July 10, 2023 15:01 IST",buisness,indiaTV
"No SFIO probe on edtech giant BYJU's, say sources","July 10, 2023 14:48 IST",buisness,indiaTV
Stock markets: Asian shares mixed on signs of slowing growth in US and China,"July 10, 2023 14:29 IST",buisness,indiaTV
"Sensex rises over 250 points, Nifty advances 76.1 points; heavy buying in Reliance Industries","July 10, 2023 17:09 IST",buisness,indiaTV
Union Minister Piyush Goyal to visit UK for Free Trade Agreement negotiations,"July 09, 2023 14:58 IST",buisness,indiaTV
Bank of India plans share sale to meet Sebi's minimum public holding norms,"July 09, 2023 13:49 IST",buisness,indiaTV
"Russia oil discount to India shrinks to $4, delivery charges remain opaque","July 10, 2023 13:12 IST",buisness,indiaTV
Centre brings Goods and Services Tax Network under PMLA | Here is why,"July 09, 2023 9:30 IST",buisness,indiaTV
"Isha Ambani, former CAG Rajiv Mehrishi appointed directors on RIL's financial services unit","July 08, 2023 17:57 IST",buisness,indiaTV
Split: FMCG stock declares sub-division of equity shares; brokerage sets fresh target,"July 08, 2023 8:29 IST",buisness,indiaTV
